44,87,23
1786,65601,841
19,24878,130
76,5374,8
85,62,5
9,0,4
2891,6,597
1,51579,2
3,9,85
15688,8576,35
4953,0,9127
97,57522,6
5,21,46470
2390,7,66295
97,714,33947
2,93,5
88,255,31428
7234,227,0
815,25,7195
4929,9,0
5,58,28
239,6943,7892
4402,2413,62
20,0,3698
4,475,3
4508,78,86
7576,33272,5
27216,94,468
72040,6,414
8,417,149
7400,28148,8
26,23454,274
2,94811,51520
8,43,21
76971,10959,12
7064,6722,96590
676,27,308
0,30040,1778
193,7143,20748
67302,1672,89
927,97,6722
5381,8335,195
4,46226,83
399,6031,9
9,16948,653
84506,661,7159
7,3491,904
1586,97299,91
4760,47520,7
299,0,88164
9400,1,2
66,570,28
722,4073,33731
773,6,9
532,381,4
768,83502,71879
1,37,73277
25574,4,91
43,64,17492
8729,848,9
9853,9,90
1417,6,3
7,25,6673
286,855,948
21,4,90
1,3,11
3339,35,84
58975,7167,114
47935,11064,5299
91027,259,9
24168,3,32
0,2771,7
13858,25205,2
65740,35,3
26985,3384,378
8,56,7727
18685,2,4737
57,3,7856
829,605,31715
61685,6927,21006
14246,329,720
583,3,19
58,948,19405
845,534,0
2,17,963
4,388,887
586,68,7362
3739,6052,7544
957,9,6
174,8878,20666
523,71637,3
443,953,3
887,180,3
6772,92571,21731
7075,3,9599
3,1488,46543
6983,90,9211
4,0,60
5,7,3
25,980,2168
9,372,83790
4643,2,3697
122,9,2
1313,396,0
8997,7,56217
95395,80,5639
675,18,12
0,709,564
8,9657,270
2,6329,65642
75,3,7253
5,47099,6
4305,595,38
4,399,68
7236,45002,153
1206,8,432
9580,86780,41
9452,999,82602
52,34337,216
6468,2865,2
19503,44646,72
1,45467,21056
83493,8791,810
4,0,89
7,86568,98
66162,3,180
3392,5369,26644
77490,53676,3326
10407,7,6682
75,58,8
3,528,8681
5,98416,79
6997,8,2
991,2168,9
57864,383,36
54,7110,126
904,244,5417
73225,61,72
5,2382,6
894,46,683
993,6725,85208
7,23738,50033
38133,8956,24439
967,4,372
2,883,955
6862,2234,82757
95,83837,79657
742,49,3
450,8060,3673
367,9265,50064
6572,4,471
77,7179,467
7107,9,148
28321,8490,23
1,50005,9
39,467,9
42,5191,0
18,6,74639
5380,1,75718
3588,262,49206
5,718,85
21,92679,6470
60576,5360,9
74512,21,1147
99923,3984,874
503,850,7585
8,74,2326
9,2232,80091
6,54,8135
4,97535,2
454,2659,4506
682,87,7
8412,16466,7110
4,8,8075
73477,74,33739
9,5,98
0,12,53991
57935,6146,549
7,86991,65
4405,17,42
3,377,57
8,5682,754
4080,37,47577
932,687,2
9002,7,640
13,50882,895
38,56344,169
526,91034,601
489,25130,2
2548,8915,5359
7420,501,5
3233,52534,37110
8,7,702
21279,1,1597
590,5,519
339,8722,539
31,46497,8951
2,1,8
48,5,950
47844,3,2
64789,820,44718
31,85,2
3633,55,2866
81,42327,88
20,9406,24134
8,8614,19460
9068,40,73
1,717,0
756,22957,7466
50,5412,5
8,26,36
9,630,2272
8672,3,3400
65,364,67078
502,281,72579
2710,96,908
0,579,242
3,907,10
1926,3069,76
62,6,7
3682,0,55
579,733,8
98,570,4
682,60,49991
3,6,3
456,28232,7
1,26,17
3003,1,0
27316,6,7465
1,14,85768
2326,8,7
41,69153,825
81,59960,56
9,350,5909
59,1689,368
790,3865,417
19311,5002,97399
98,3,96049
9436,7770,42328
94646,74,799
7,973,12703
60,777,475
41,255,411
8553,7,9861
44,8642,2
4120,7220,318
9394,31759,21
7,23,9421
251,1,51
5,486,29
8017,21,4
3564,52,317
142,33059,25625
55852,946,9712
42,95679,7974
6528,8372,787
4,2923,47507
8297,144,71612
3,55,13
86689,62,54
70728,47,9422
4,13,8
63,412,99
90025,21,13
37,99,5
52,4080,21161
0,79,525
90834,59,94
3863,1586,6
34,6040,8
69876,54,839
735,437,8
77851,271,98
304,4804,4
2,7,4
561,7,0
95,7,8
865,53390,8252
46,355,6931
96,56,3201
8,6,93512
15924,7,82113
60,201,4302
43,6,409
57417,663,34
7281,94,9707
27,4,2379
6462,396,46137
91,72,1197
3279,349,82116
3532,903,1659
83030,6390,21782
8095,84,3292
7172,59126,66
9,232,4
54,8908,49
36,25,81
679,0,6301
919,77982,5
7297,811,3852
23268,8117,81983
16364,9884,387
15,6,43649
4848,6412,99946
48,4,28
9723,9,79
7,26,39132
9517,143,182
46753,9192,71173
58,58,16
6718,600,9402
28240,1716,4
883,9,9855
544,6,76118
7,3,43
359,7021,122
3046,4019,85
613,19,267
42216,972,24
14,41840,14086
53306,41,90
807,46,13648
22622,39740,3
3866,4536,1
615,918,336
2223,494,51
3,7686,49
6,56,3
16145,2116,8705
51,5239,9225
24756,836,4
43404,6398,1903
34,4,7
867,595,91
5,7,99
57587,0,835
66,140,8096
4367,5935,25
98545,5,65546
78,1,5
72987,58304,67753
2440,1,61
6169,34,8
650,897,79
72755,961,78019
896,32,75
42936,6947,2
4,45,91571
0,6,4
842,168,39
178,13,33
45,2508,11
4,83,94906
8199,41,80
54,6,7
874,19,4
816,57023,6
62,3761,0
9,99727,445
43630,8,85431
229,77,97855
95179,2,19
9,35673,73983
5974,943,5
39,846,26334
5,5581,309
9,14,6086
63103,4,13886
37053,4,66737
5588,6,26061
986,442,155
92,11944,66
6,517,92
685,2,2011
831,47507,44896
7357,99276,248
95754,931,194
48089,75,4
23426,6,4
125,30,1125
8414,60,3
9,9,145
3,73,97939
12216,2016,5508
7350,727,75
967,9814,7
5,32,56437
4657,2680,3098
43924,5,575
46800,2,73505
9656,5,72
25316,22,502
5,4,433
2610,7,55346
66,5,2
9,878,51
768,493,5
72756,3,0
4441,4,19611
3000,80,81285
34192,864,2
295,6793,70619
5,57287,559
41421,137,52063
60,55,3908
0,6521,46107
1,111,10654
38546,7,806
2,31,2
361,3349,61
2045,412,6
0,92082,5396
63,41,27
1,3406,6180
1,94855,96
7,8,6247
14875,57268,9
821,21688,897
32,687,6
12,479,79
212,5,581
199,0,43
54216,7,11
3236,691,5
83,71356,2415
9441,3,77
72,36,4
5620,1,65
5467,5483,552
4334,8,9
96321,164,1398
98873,52,20
16,1943,392
27834,47,14
1,53,39011
92498,6,82
6,96,70
398,7,37
24543,104,12
2199,390,91
91,5390,2345
9460,2,4399
57289,67395,2158
3,6124,4245
26,88,995
9,528,953
0,31,6
37837,8750,48
9630,3,291
603,749,1
18040,85024,9
1103,650,22392
300,3543,9
14,44240,72810
99725,381,6931
728,491,38848
6,525,98
851,3,2238
8,694,947
44,0,9
393,9851,4
3,673,3
1,87641,3054
9139,49159,82
66332,23823,904
61114,966,5759
9192,708,19741
32707,428,2178
2,75,7793
65868,74,7137
8565,47748,29
25930,7117,2308
7823,8,5
6,4,115
4,788,56160
1,96,8597
525,7,4
984,4145,3047
2,737,2
86,8,7
